	Algal (Endosymbiont) Species	Algal (Endosymbiont) Strain	Host Species	Host Strain	Taxonomic Designation of the Host	Origin	Database	rbcL	18srRNA	28S rRNA	3_rpl36-5_infA	ITS1-5.8S-ITS2	Ref
	M_pusillum	LUCC_022	Free-living	nd	nd			KC810318	nd	nd	nd	nd	?
	Chl_pyrenoidosa	SUN_CHLORELLA	Free-living	nd	nd			AB240145	nd	nd	nd	nd	?
	Actinastrum_hantzchii	 UTEX LB 605 	Free-living	nd	nd			EF113405	nd	nd	nd	nd	?
	Meyerella_planktonica 	S-11w	Free-living	nd	nd	"Lake Itasca, Minnesota, USA"		AY543047	nd	nd	nd	nd	?
	Didmyogenes anomalus	SAG 18.91	Free-living	nd	nd	"Rhine, Germany"		nd	nd	nd	nd	FM205839	"Proschold et al., 2010"
	Chlorella vulgaris	SAG 211-11b	Free-living	nd	nd	Netherlands		nd	nd	nd	nd	FM205832	"Darienko et al., 2019"
	Chlorella sorokiniana	CCAP 211/8K	Free-living	nd	nd	"Texas, USA"		nd	nd	nd	nd	FM205859	
	Micractinium pusillum	SAG 72.80	Free-living	nd	nd	"Gif-sur-Yvette, France"		nd	nd	nd	nd	FM205837	
	Actinastrum_hantzchii	SAG 2015	Free-living	nd	nd	"Sachsen-Anhalt, Germany"		nd	nd	nd	nd	FM205841	
	Meyerella_planktonica	Itas 2/24 S-1w	Free-living	nd	nd	"Lake Itasca, Minnesota, USA"		nd	nd	nd	nd	AY543040	
	M_pusillum	CCAP 248/7	Free-living	nd	nd	"Sachsen, Germany"		nd	AM231740	nd	nd	nd	
	M_conductrix		P.bursaria	nd	nd			nd	PSC69440	nd	nd	nd	
	Chl_variabilis		P. bursaria	nd	nd	India		nd	KF849475	nd	nd	nd	
	Chl. Variabilis	NC64A	P.bursaria	nd	nd			AIH00184	nd	nd	nd	nd	
	Chl_stokesia	PIB	Stokesia vernalis	nd	nd	"Piburger See, Austria"		nd	nd	nd	nd	EF030572	"Summerer etl al., 2007"
	Chl_Pelagodileptus	PIB	Pelagodileptus trachelioides	nd	nd	"Piburger See, Austria"		nd	nd	nd	nd	EF030573	"Summerer etl al., 2007"
	Chl_stentor	PIB	Stentor polymorphus	nd	nd	"Piburger See, Austria"		nd	nd	nd	nd	EF030575	"Summerer etl al., 2007"
	Chl_Teuthophrys 	PIB	Teuthophrys trisulca trisulca	nd	nd	"Piburger See, Austria"		nd	nd	nd	nd	EF030574	"Summerer etl al., 2007"
	Chl_ Uroleptus 	PIB	Uroleptus sp.	nd	nd	"Piburger See, Austria"		nd	nd	nd	nd	EF030571	"Summerer etl al., 2007"
	Chl_ Askenasia 	PIB	Askenasia chlorelligera	nd	nd	"Piburger See, Austria"		nd	nd	nd	nd	EF030576	"Summerer etl al., 2007"
	Chl_ Askenasia 	GKS	Askenasia chlorelligera	nd	nd	"Gossenköllesee, Austria"		nd	nd	nd	nd	EF030577	"Summerer etl al., 2007"
	Chl_hydra_KRAN		Hydra viridissima	nd	nd	"Innsbruck, Austria"		nd	nd	nd	nd		"Summerer etl al., 2007"
	Chl_hydra_multiheaded		Hydra viridissima	nd	nd	"Florida, USA"		nd	nd	nd	nd		"Summerer etl al., 2007"
	Chl_minutissima	CCAP211_52	Free-living	nd	nd	New Zealand		nd	nd	nd	nd	EF030581	"Summerer etl al., 2007"
	American	ATCC_50258	P.bursaria	nd	R1	"New York, USA"		nd	nd	nd	nd	AB206549	
	American	ATCC_30562	P.bursaria	nd	R2	"Ohio, USA"		nd	nd	nd	nd	AB206550	
	American	SAG_211_6	P.bursaria	nd	nd	USA		nd	AB260893	nd	nd	nd	
	American	N1A	P.bursaria	nd	R1	USA		nd	nd	nd	nd	nd	
	American	OK1_ZK	P.bursaria	nd	R1	"Aichi, Japan"		nd	nd	nd	nd	AB162912	
	American	Sol3_ZK	P.bursaria	nd	R1	"Nagano, Japan"		nd	nd	nd	nd	AB162913	
	American	F36_ZK	P.bursaria	nd	R1	Japan		nd	nd	nd	nd	AB162914	
	American	KM2_ZK	P.bursaria	nd	R1	"Shimane, Japan"		nd	nd	nd	nd	AB162915	
	American	Dd1_ZK	P.bursaria	nd	R1	"Ibaraki, Japan"		nd	nd	nd	nd	AB162916	
	American	Bnd1_ZK	P.bursaria	nd	R1	"Hiroshima, Japan"		nd	nd	nd	nd	AB162917	
	European	CCAP_1660_12	P.bursaria	nd	R2	"Cambridge, UK"		nd	nd	nd	nd	AB206548	"Hoshina et al., 2005"
	Chl_vulgaris	CCAP_1660_10	P.bursaria	nd	nd			nd	nd	nd	nd	AB260895	"Hoshina et al., 2005"
	Coccomyxa_sp.	CCAP_1660_13	P.bursaria	nd	nd	"Cambridge, UK"		nd	nd	nd	nd	AB109544	"Hoshina et al., 2005"
