	oneline_A99_genome_proteins	oneline_c_sorokiniana_genome_proteins	oneline_c_variabilis_genome_proteins	oneline_c_vulgaris_genome_proteins	oneline_m_conductrix_genome_proteins
oneline_A99_genome_proteins	0.0	960.0	790.0	795.0	950.0
oneline_c_sorokiniana_genome_proteins	1466.0	0.0	1651.0	1617.0	1597.0
oneline_c_variabilis_genome_proteins	796.0	1144.0	0.0	879.0	1131.0
oneline_c_vulgaris_genome_proteins	1243.0	1224.0	1210.0	0.0	1291.0
oneline_m_conductrix_genome_proteins	1521.0	1634.0	1664.0	1654.0	0.0
